User Role,originatorName,USER ID/EUI64,DUIS Version,Environment
RSA,70-B3-D5-1F-31-AA-04-43_RSA_DUIS5.1,70-B3-D5-1F-31-AA-04-43,5.1,UIT-B
OU,70-B3-D5-1F-31-AA-04-44_OU_DUIS5.1,70-B3-D5-1F-31-AA-04-44,5.1,UIT-B
IS1,70-B3-D5-1F-31-AA-04-45_IS1_DUIS5.2,70-B3-D5-1F-31-AA-04-45,5.2,UIT-B
IS2,70-B3-D5-1F-31-AA-04-46_IS2_DUIS5.2,70-B3-D5-1F-31-AA-04-46,5.2,UIT-B
ES,70-B3-D5-1F-31-AA-04-47_ES_DUIS5.2,70-B3-D5-1F-31-AA-04-47,5.2,UIT-B
GS1,70-B3-D5-1F-31-AA-04-48_GS1_DUIS5.2,70-B3-D5-1F-31-AA-04-48,5.2,UIT-B
GS2,70-B3-D5-1F-31-AA-04-49_GS2_DUIS5.2,70-B3-D5-1F-31-AA-04-49,5.2,UIT-B
ED,70-B3-D5-1F-31-AA-04-50_ED_DUIS5.2,70-B3-D5-1F-31-AA-04-50,5.2,UIT-B
GT,70-B3-D5-1F-31-AA-04-51_GT_DUIS5.2,70-B3-D5-1F-31-AA-04-51,5.2,UIT-B
RSA,70-B3-D5-1F-31-AA-04-52_RSA_DUIS5.2,70-B3-D5-1F-31-AA-04-52,5.2,UIT-B
OU,70-B3-D5-1F-31-AA-04-53_OU_DUIS5.2,70-B3-D5-1F-31-AA-04-53,5.2,UIT-B
IS1,70-B3-D5-1F-31-AA-04-54_IS1_DUIS5.3,70-B3-D5-1F-31-AA-04-54,5.3,UIT-B
IS2,70-B3-D5-1F-31-AA-04-55_IS2_DUIS5.3,70-B3-D5-1F-31-AA-04-55,5.3,UIT-B
ES,70-B3-D5-1F-31-AA-04-56_ES_DUIS5.3,70-B3-D5-1F-31-AA-04-56,5.3,UIT-B
GS1,70-B3-D5-1F-31-AA-04-57_GS1_DUIS5.3,70-B3-D5-1F-31-AA-04-57,5.3,UIT-B
GS2,70-B3-D5-1F-31-AA-04-58_GS2_DUIS5.3,70-B3-D5-1F-31-AA-04-58,5.3,UIT-B
ED,70-B3-D5-1F-31-AA-04-59_ED_DUIS5.3,70-B3-D5-1F-31-AA-04-59,5.3,UIT-B
GT,70-B3-D5-1F-31-AA-04-60_GT_DUIS5.3,70-B3-D5-1F-31-AA-04-60,5.3,UIT-B
RSA,70-B3-D5-1F-31-AA-04-61_RSA_DUIS5.3,70-B3-D5-1F-31-AA-04-61,5.3,UIT-B
OU,70-B3-D5-1F-31-AA-04-62_OU_DUIS5.3,70-B3-D5-1F-31-AA-04-62,5.3,UIT-B
MDR,70-B3-D5-1F-31-AA-04-63_MDR_DUIS5.3,70-B3-D5-1F-31-AA-04-63,5.3,UIT-B
IS1,70-B3-D5-1F-31-AA-01-00_IS1_DUIS3.0,70-B3-D5-1F-31-AA-01-00,3.0,SIT-A
IS2,70-B3-D5-1F-31-AA-01-01_IS2_DUIS3.0,70-B3-D5-1F-31-AA-01-01,3.0,SIT-A
ES,70-B3-D5-1F-31-AA-01-02_ES_DUIS3.0,70-B3-D5-1F-31-AA-01-02,3.0,SIT-A
GS1,70-B3-D5-1F-31-AA-01-03_GS1_DUIS3.0,70-B3-D5-1F-31-AA-01-03,3.0,SIT-A
GS2,70-B3-D5-1F-31-AA-01-04_GS2_DUIS3.0,70-B3-D5-1F-31-AA-01-04,3.0,SIT-A
ED,70-B3-D5-1F-31-AA-01-05_ED_DUIS3.0,70-B3-D5-1F-31-AA-01-05,3.0,SIT-A
GT,70-B3-D5-1F-31-AA-01-06_GT_DUIS3.0,70-B3-D5-1F-31-AA-01-06,3.0,SIT-A
RSA,70-B3-D5-1F-31-AA-01-07_RSA_DUIS3.0,70-B3-D5-1F-31-AA-01-07,3.0,SIT-A
OU,70-B3-D5-1F-31-AA-01-08_OU_DUIS3.0,70-B3-D5-1F-31-AA-01-08,3.0,SIT-A
IS1,70-B3-D5-1F-31-AA-01-09_IS1_DUIS3.1,70-B3-D5-1F-31-AA-01-09,3.1,SIT-A
IS2,70-B3-D5-1F-31-AA-01-10_IS2_DUIS3.1,70-B3-D5-1F-31-AA-01-10,3.1,SIT-A
ES,70-B3-D5-1F-31-AA-01-11_ES_DUIS3.1,70-B3-D5-1F-31-AA-01-11,3.1,SIT-A
GS1,70-B3-D5-1F-31-AA-01-12_GS1_DUIS3.1,70-B3-D5-1F-31-AA-01-12,3.1,SIT-A
GS2,70-B3-D5-1F-31-AA-01-13_GS2_DUIS3.1,70-B3-D5-1F-31-AA-01-13,3.1,SIT-A
ED,70-B3-D5-1F-31-AA-01-14_ED_DUIS3.1,70-B3-D5-1F-31-AA-01-14,3.1,SIT-A
GT,70-B3-D5-1F-31-AA-01-15_GT_DUIS3.1,70-B3-D5-1F-31-AA-01-15,3.1,SIT-A
RSA,70-B3-D5-1F-31-AA-01-16_RSA_DUIS3.1,70-B3-D5-1F-31-AA-01-16,3.1,SIT-A
OU,70-B3-D5-1F-31-AA-01-17_OU_DUIS3.1,70-B3-D5-1F-31-AA-01-17,3.1,SIT-A
IS1,70-B3-D5-1F-31-AA-01-18_IS1_DUIS4.0,70-B3-D5-1F-31-AA-01-18,4.0,SIT-A
IS2,70-B3-D5-1F-31-AA-01-19_IS2_DUIS4.0,70-B3-D5-1F-31-AA-01-19,4.0,SIT-A
ES,70-B3-D5-1F-31-AA-01-20_ES_DUIS4.0,70-B3-D5-1F-31-AA-01-20,4.0,SIT-A
GS1,70-B3-D5-1F-31-AA-01-21_GS1_DUIS4.0,70-B3-D5-1F-31-AA-01-21,4.0,SIT-A
GS2,70-B3-D5-1F-31-AA-01-22_GS2_DUIS4.0,70-B3-D5-1F-31-AA-01-22,4.0,SIT-A
ED,70-B3-D5-1F-31-AA-01-23_ED_DUIS4.0,70-B3-D5-1F-31-AA-01-23,4.0,SIT-A
GT,70-B3-D5-1F-31-AA-01-24_GT_DUIS4.0,70-B3-D5-1F-31-AA-01-24,4.0,SIT-A
RSA,70-B3-D5-1F-31-AA-01-25_RSA_DUIS4.0,70-B3-D5-1F-31-AA-01-25,4.0,SIT-A
OU,70-B3-D5-1F-31-AA-01-26_OU_DUIS4.0,70-B3-D5-1F-31-AA-01-26,4.0,SIT-A
IS1,70-B3-D5-1F-31-AA-01-27_IS1_DUIS5.0,70-B3-D5-1F-31-AA-01-27,5.0,SIT-A
IS2,70-B3-D5-1F-31-AA-01-28_IS2_DUIS5.0,70-B3-D5-1F-31-AA-01-28,5.0,SIT-A
ES,70-B3-D5-1F-31-AA-01-29_ES_DUIS5.0,70-B3-D5-1F-31-AA-01-29,5.0,SIT-A
GS1,70-B3-D5-1F-31-AA-01-30_GS1_DUIS5.0,70-B3-D5-1F-31-AA-01-30,5.0,SIT-A
GS2,70-B3-D5-1F-31-AA-01-31_GS2_DUIS5.0,70-B3-D5-1F-31-AA-01-31,5.0,SIT-A
ED,70-B3-D5-1F-31-AA-01-32_ED_DUIS5.0,70-B3-D5-1F-31-AA-01-32,5.0,SIT-A
GT,70-B3-D5-1F-31-AA-01-33_GT_DUIS5.0,70-B3-D5-1F-31-AA-01-33,5.0,SIT-A
RSA,70-B3-D5-1F-31-AA-01-34_RSA_DUIS5.0,70-B3-D5-1F-31-AA-01-34,5.0,SIT-A
OU,70-B3-D5-1F-31-AA-01-35_OU_DUIS5.0,70-B3-D5-1F-31-AA-01-35,5.0,SIT-A
IS1,70-B3-D5-1F-31-AA-01-36_IS1_DUIS5.1,70-B3-D5-1F-31-AA-01-36,5.1,SIT-A
IS2,70-B3-D5-1F-31-AA-01-37_IS2_DUIS5.1,70-B3-D5-1F-31-AA-01-37,5.1,SIT-A
ES,70-B3-D5-1F-31-AA-01-38_ES_DUIS5.1,70-B3-D5-1F-31-AA-01-38,5.1,SIT-A
GS1,70-B3-D5-1F-31-AA-01-39_GS1_DUIS5.1,70-B3-D5-1F-31-AA-01-39,5.1,SIT-A
GS2,70-B3-D5-1F-31-AA-01-40_GS2_DUIS5.1,70-B3-D5-1F-31-AA-01-40,5.1,SIT-A
ED,70-B3-D5-1F-31-AA-01-41_ED_DUIS5.1,70-B3-D5-1F-31-AA-01-41,5.1,SIT-A
GT,70-B3-D5-1F-31-AA-01-42_GT_DUIS5.1,70-B3-D5-1F-31-AA-01-42,5.1,SIT-A
RSA,70-B3-D5-1F-31-AA-01-43_RSA_DUIS5.1,70-B3-D5-1F-31-AA-01-43,5.1,SIT-A
OU,70-B3-D5-1F-31-AA-01-44_OU_DUIS5.1,70-B3-D5-1F-31-AA-01-44,5.1,SIT-A
IS1,70-B3-D5-1F-31-AA-01-45_IS1_DUIS5.2,70-B3-D5-1F-31-AA-01-45,5.2,SIT-A
IS2,70-B3-D5-1F-31-AA-01-46_IS2_DUIS5.2,70-B3-D5-1F-31-AA-01-46,5.2,SIT-A
ES,70-B3-D5-1F-31-AA-01-47_ES_DUIS5.2,70-B3-D5-1F-31-AA-01-47,5.2,SIT-A
GS1,70-B3-D5-1F-31-AA-01-48_GS1_DUIS5.2,70-B3-D5-1F-31-AA-01-48,5.2,SIT-A
GS2,70-B3-D5-1F-31-AA-01-49_GS2_DUIS5.2,70-B3-D5-1F-31-AA-01-49,5.2,SIT-A
ED,70-B3-D5-1F-31-AA-01-50_ED_DUIS5.2,70-B3-D5-1F-31-AA-01-50,5.2,SIT-A
GT,70-B3-D5-1F-31-AA-01-51_GT_DUIS5.2,70-B3-D5-1F-31-AA-01-51,5.2,SIT-A
RSA,70-B3-D5-1F-31-AA-01-52_RSA_DUIS5.2,70-B3-D5-1F-31-AA-01-52,5.2,SIT-A
OU,70-B3-D5-1F-31-AA-01-53_OU_DUIS5.2,70-B3-D5-1F-31-AA-01-53,5.2,SIT-A
IS1,70-B3-D5-1F-31-AA-01-54_IS1_DUIS5.3,70-B3-D5-1F-31-AA-01-54,5.3,SIT-A
IS2,70-B3-D5-1F-31-AA-01-55_IS2_DUIS5.3,70-B3-D5-1F-31-AA-01-55,5.3,SIT-A
ES,70-B3-D5-1F-31-AA-01-56_ES_DUIS5.3,70-B3-D5-1F-31-AA-01-56,5.3,SIT-A
GS1,70-B3-D5-1F-31-AA-01-57_GS1_DUIS5.3,70-B3-D5-1F-31-AA-01-57,5.3,SIT-A
GS2,70-B3-D5-1F-31-AA-01-58_GS2_DUIS5.3,70-B3-D5-1F-31-AA-01-58,5.3,SIT-A
ED,70-B3-D5-1F-31-AA-01-59_ED_DUIS5.3,70-B3-D5-1F-31-AA-01-59,5.3,SIT-A
GT,70-B3-D5-1F-31-AA-01-60_GT_DUIS5.3,70-B3-D5-1F-31-AA-01-60,5.3,SIT-A
RSA,70-B3-D5-1F-31-AA-01-61_RSA_DUIS5.3,70-B3-D5-1F-31-AA-01-61,5.3,SIT-A
OU,70-B3-D5-1F-31-AA-01-62_OU_DUIS5.3,70-B3-D5-1F-31-AA-01-62,5.3,SIT-A
MDR,70-B3-D5-1F-31-AA-01-63_MDR_DUIS5.3,70-B3-D5-1F-31-AA-01-63,5.3,SIT-A
IS1,70-B3-D5-1F-31-AA-02-00_IS1_DUIS3.0,70-B3-D5-1F-31-AA-02-00,3.0,SIT-B
IS2,70-B3-D5-1F-31-AA-02-01_IS2_DUIS3.0,70-B3-D5-1F-31-AA-02-01,3.0,SIT-B
ES,70-B3-D5-1F-31-AA-02-02_ES_DUIS3.0,70-B3-D5-1F-31-AA-02-02,3.0,SIT-B
GS1,70-B3-D5-1F-31-AA-02-03_GS1_DUIS3.0,70-B3-D5-1F-31-AA-02-03,3.0,SIT-B
GS2,70-B3-D5-1F-31-AA-02-04_GS2_DUIS3.0,70-B3-D5-1F-31-AA-02-04,3.0,SIT-B
ED,70-B3-D5-1F-31-AA-02-05_ED_DUIS3.0,70-B3-D5-1F-31-AA-02-05,3.0,SIT-B
